player_id,season,position_std,min,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,height_m,weight_kg,BMI,body_fat_pct_est,lean_mass_kg,fat_mass_kg,injured
200752,2006,Shooting Guard,1013.0,562.0,190.0,83.0,44.0,26.0,74.0,0.46,0.37,0.86,2.03,113.4,27.5,25.3,84.7,28.7,0
76838,1955,Small Forward,2482.0,1058.0,751.0,148.0,0.0,0.0,0.0,0.35,0.0,0.75,2.03,88.5,21.5,16.7,73.7,14.8,0
77270,1981,Point Guard,1743.0,897.0,243.0,226.0,0.0,0.0,0.0,0.42,0.0,0.81,1.88,79.4,22.5,17.9,65.2,14.2,0
0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0
0,,,2458.0,965.0,854.0,130.0,98.0,128.0,202.0,0.53,0.0,0.72,,,,,,,0
897,2000,Small Forward,614.0,257.0,132.0,18.0,19.0,32.0,37.0,0.54,0.25,0.62,2.06,90.7,21.4,16.4,75.8,14.9,0
77012,1969,Small Forward,2123.0,938.0,639.0,111.0,0.0,0.0,0.0,0.4,0.0,0.81,2.03,99.8,24.2,19.3,80.5,19.3,0
1630,2008,Power Forward,1154.0,359.0,316.0,33.0,24.0,61.0,74.0,0.49,0.0,0.73,2.13,102.1,22.5,19.1,82.6,19.5,0
2366,2014,Point Guard,534.0,170.0,54.0,79.0,15.0,4.0,31.0,0.47,0.33,0.79,1.78,81.6,25.8,21.7,63.9,17.7,0
1628975,2033,Point Guard,576.0,172.0,66.0,69.0,26.0,11.0,33.0,0.3,0.33,0.81,1.85,90.7,26.5,22.0,70.7,20.0,0
203496,2027,Small Forward,488.0,127.0,97.0,24.0,39.0,18.0,11.0,0.44,0.34,0.85,2.01,94.8,23.5,19.6,76.2,18.6,0
2211,2016,Power Forward,667.0,231.0,157.0,60.0,21.0,17.0,29.0,0.45,0.37,0.71,2.11,111.1,25.0,21.2,87.5,23.6,0
436,2036,Small Forward,472.0,173.0,76.0,26.0,7.0,6.0,26.0,0.51,0.0,0.68,2.06,113.4,26.7,24.8,85.3,28.1,0
77150,1980,Small Forward,2899.0,1415.0,988.0,270.0,0.0,0.0,0.0,0.42,0.0,0.68,1.98,104.3,26.6,24.2,79.1,25.2,0
